,colname,value
30,property_type_Boat,0.795542232
102,neighbourhood_cleansed_PioneerSquare,0.595681973
116,neighbourhood_cleansed_SunsetHill,0.388970044
25,room_type_Entirehome_apt,0.376893838
112,neighbourhood_cleansed_SouthLakeUnion,0.364175663
56,neighbourhood_cleansed_CentralBusinessDistrict,0.292333205
100,neighbourhood_cleansed_Pike_Market,0.271015265
80,neighbourhood_cleansed_LowerQueenAnne,0.27002312
127,neighbourhood_cleansed_YeslerTerrace,0.268456239
64,neighbourhood_cleansed_FirstHill,0.253692558
76,neighbourhood_cleansed_InternationalDistrict,0.251313622
48,neighbourhood_cleansed_Belltown,0.232601221
60,neighbourhood_cleansed_EastQueenAnne,0.227167997
38,property_type_Loft,0.139262844
4,bedrooms,0.135918112
34,property_type_Chalet,0.112413732
128,host_response_time_afewdaysormore,0.088023798
31,property_type_Bungalow,0.079496492
24,bed_type_RealBed,0.072031276
43,host_is_superhost_t,0.058437649
42,host_is_superhost_f,-0.058437649
17,review_scores_value,-0.066353598
35,property_type_Condominium,-0.068386033
131,host_response_time_withinanhour,-0.068427033
28,property_type_Apartment,-0.079940344
39,property_type_Other,-0.084461354
21,bed_type_Couch,-0.085106671
41,property_type_Yurt,-0.114007926
33,property_type_Camper_RV,-0.219439909
111,neighbourhood_cleansed_SouthDelridge,-0.245312726
104,neighbourhood_cleansed_RainierBeach,-0.249793736
73,neighbourhood_cleansed_HighPoint,-0.255101071
118,neighbourhood_cleansed_VictoryHeights,-0.257870875
51,neighbourhood_cleansed_Brighton,-0.276084738
110,neighbourhood_cleansed_SouthBeaconHill,-0.28160373
27,room_type_Sharedroom,-0.356175435
49,neighbourhood_cleansed_BitterLake,-0.372757917
52,neighbourhood_cleansed_Broadview,-0.487978171
36,property_type_Dorm,-0.491515403
